cell_type	target	binding	perb_score
Late_Male_Lamp5	CACNA1C	antagonist	1.8156606113681e-09
Late_Male_Sst	CACNA1C	antagonist	1.43176304570309e-09
Late_Male_Vip	CACNA1C	antagonist	2.30534261142854e-09
Late_Male_L6b	CACNA1C	antagonist	1.73194049626297e-09
Late_Male_L5_6_NP	CACNA1C	antagonist	4.18711419732474e-09
Late_Male_Pax6	CACNA1C	antagonist	2.62475243198154e-10
Late_Male_OPC	CACNA1C	antagonist	1.04210214371008e-09
Late_Male_VLMC___Perivascular	CACNA1C	antagonist	9.98840593867437e-09
Late_Male_Sncg	CACNA1C	antagonist	3.80896178692621e-09
Early_Female_Pax6	ADORA1	antagonist	4.90424414227957e-11
Early_Female_L5_6_NP	ADORA1	antagonist	4.13541615669349e-10
Early_Female_Chandelier	ADORA1	antagonist	9.87483766875655e-11
Early_Female_L6_IT	ADORA1	antagonist	6.06404251983932e-10
Early_Female_Oligodendrocyte	ADORA1	antagonist	9.31828604795595e-10
Early_Female_Sst	ADORA1	antagonist	1.82665583853695e-10
Early_Male_Astrocyte	ADORA1	antagonist	3.80638530314289e-10
Early_Female_OPC	ADORA1	antagonist	2.58741837965001e-10
Early_Female_Sncg	ADORA1	antagonist	1.37471677257276e-10
Early_Female_Lamp5	ADORA1	antagonist	7.60550683501066e-11
Early_Female_Pvalb	ADORA1	antagonist	2.40245062090126e-10
Early_Female_L6_CT	ADORA1	antagonist	1.62364367358231e-10
Early_Female_Astrocyte	ADORA1	antagonist	4.4475826477899e-10
Early_Female_L2_3_IT	ADORA1	antagonist	2.44491318510575e-10
Early_Male_L6b	ADORA1	antagonist	3.37404134450559e-10
Early_Male_L6_CT	ADORA1	antagonist	5.42592440678135e-10
Early_Male_Chandelier	ADORA1	antagonist	2.99044921880626e-10
Early_Female_Lamp5_Lhx6	ADORA1	antagonist	4.32549679811392e-10
Early_Female_L6_IT_Car3	ADORA1	antagonist	7.6293900224597e-10
Early_Male_L5_6_NP	ADORA1	antagonist	3.04832956833686e-10
Early_Male_Immune	ADORA1	antagonist	1.92486287501905e-10
Early_Female_Vip	ADORA1	antagonist	1.86208743760436e-10
Early_Male_Lamp5_Lhx6	ADORA1	antagonist	1.67121675229769e-10
Early_Male_L4_IT	ADORA1	antagonist	5.88281788591805e-10
Early_Female_Immune	ADORA1	antagonist	2.38624202190469e-10
Early_Female_L5_IT	ADORA1	antagonist	6.46709158148354e-10
Early_Female_L4_IT	ADORA1	antagonist	7.12011649798662e-11
Early_Male_L6_IT	ADORA1	antagonist	2.36375533986663e-10
Early_Male_L5_IT	ADORA1	antagonist	3.39303061754779e-10
Late_Female_Immune	ADORA1	antagonist	2.59869601562064e-10
Early_Male_L2_3_IT	ADORA1	antagonist	7.41394375741487e-11
Early_Male_OPC	ADORA1	antagonist	9.87521838040951e-10
Early_Male_Lamp5	ADORA1	antagonist	1.82984096997057e-10
Early_Male_Oligodendrocyte	ADORA1	antagonist	1.2692368954571e-09
Early_Male_Sncg	ADORA1	antagonist	1.89096504486401e-10
Late_Female_Endothelial	ADORA1	antagonist	1.72412712377769e-10
Late_Female_Astrocyte	ADORA1	antagonist	8.14946178893238e-11
Early_Male_Sst	ADORA1	antagonist	1.83421235664409e-11
Late_Female_Chandelier	ADORA1	antagonist	2.12073419323446e-10
Early_Male_Vip	ADORA1	antagonist	9.74382074700424e-11
Late_Female_L5_ET	ADORA1	antagonist	8.26331835489061e-11
Late_Female_L5_6_NP	ADORA1	antagonist	7.10180118743176e-10
Late_Female_L2_3_IT	ADORA1	antagonist	5.92207877714903e-10
Early_Male_Pvalb	ADORA1	antagonist	2.96191163517563e-11
Late_Female_L4_IT	ADORA1	antagonist	9.45782597793413e-11
Late_Female_L6_IT	ADORA1	antagonist	2.37055760114286e-10
Late_Female_L6_IT_Car3	ADORA1	antagonist	5.90553511865882e-10
