cell_type	target	binding	perb_score
Oligodendrocyte_Late_APOE4_Pos	ADAMTS1	antagonist	4.05957776157101e-10
Pvalb_Early_APOE4_Neg	ADAMTS1	antagonist	6.96647389416402e-11
Pax6_Late_APOE4_Pos	ADAMTS1	antagonist	1.39745905345055e-10
Sst_Late_APOE4_Pos	ADAMTS1	antagonist	9.54971018187781e-11
Pax6_Late_APOE4_Neg	ADAMTS1	antagonist	1.20124587047863e-10
Pvalb_Late_APOE4_Neg	ADAMTS1	antagonist	3.76723580509849e-11
Sst_Early_APOE4_Neg	ADAMTS1	antagonist	3.62088162000854e-11
Sncg_Late_APOE4_Neg	ADAMTS1	antagonist	2.16284012182402e-11
Sncg_Early_APOE4_Neg	ADAMTS1	antagonist	1.22334014538644e-10
Pvalb_Late_APOE4_Pos	ADAMTS1	antagonist	9.92477570208e-12
Vip_Late_APOE4_Neg	ADAMTS1	antagonist	4.65461129321155e-10
Vip_Late_APOE4_Pos	ADAMTS1	antagonist	4.80266275763886e-10
Sncg_Late_APOE4_Pos	ADAMTS1	antagonist	6.0437058231802e-11
Vip_Early_APOE4_Neg	ADAMTS1	antagonist	2.55346027558486e-10
VLMC___Perivascular_Late_APOE4_Pos	ADAMTS1	antagonist	7.42438061324242e-09
Sst_Late_APOE4_Neg	ADAMTS1	antagonist	3.4469285404199e-11
L5_ET_Late_APOE4_Neg	APH1B	antagonist	2.14927017573029e-10
Endothelial_Late_APOE4_Neg	APH1B	antagonist	4.69179510917929e-10
Chandelier_Early_APOE4_Neg	APH1B	antagonist	9.46299962851489e-10
L4_IT_Early_APOE4_Neg	APH1B	antagonist	4.39609586357772e-11
L5_IT_Early_APOE4_Neg	APH1B	antagonist	2.33773932562636e-10
L5_6_NP_Late_APOE4_Neg	APH1B	antagonist	1.08835397164327e-09
L2_3_IT_Early_APOE4_Neg	APH1B	antagonist	2.48408728750444e-10
Immune_Late_APOE4_Pos	APH1B	antagonist	5.99915141947472e-11
Astrocyte_Late_APOE4_Neg	APH1B	antagonist	1.47751306191442e-10
L5_ET_Late_APOE4_Pos	APH1B	antagonist	1.00902443190432e-09
L5_6_NP_Late_APOE4_Pos	APH1B	antagonist	2.23826040251595e-10
Endothelial_Late_APOE4_Pos	APH1B	antagonist	1.19104003062478e-10
L4_IT_Late_APOE4_Pos	APH1B	antagonist	2.78904826714163e-10
Chandelier_Late_APOE4_Neg	APH1B	antagonist	4.42699778514625e-10
Astrocyte_Early_APOE4_Neg	APH1B	antagonist	4.86048217526765e-10
Immune_Early_APOE4_Neg	APH1B	antagonist	3.48403315899136e-10
L5_IT_Late_APOE4_Neg	APH1B	antagonist	6.55856804881935e-10
L2_3_IT_Late_APOE4_Neg	APH1B	antagonist	6.68850096410799e-11
Immune_Late_APOE4_Neg	APH1B	antagonist	4.77147251793914e-10
L4_IT_Late_APOE4_Neg	APH1B	antagonist	4.53033270834644e-10
L5_6_NP_Early_APOE4_Neg	APH1B	antagonist	5.69071831216685e-10
L2_3_IT_Late_APOE4_Pos	APH1B	antagonist	1.52801889346907e-10
Astrocyte_Late_APOE4_Pos	APH1B	antagonist	3.58964161899702e-10
L6b_Early_APOE4_Neg	APH1B	antagonist	4.34590898399636e-11
Lamp5_Late_APOE4_Neg	APH1B	antagonist	1.29695948915364e-10
Chandelier_Late_APOE4_Pos	APH1B	antagonist	5.91892335916827e-10
L6_IT_Car3_Early_APOE4_Neg	APH1B	antagonist	1.17526273485468e-09
Lamp5_Lhx6_Late_APOE4_Neg	APH1B	antagonist	7.38169009288006e-10
L5_IT_Late_APOE4_Pos	APH1B	antagonist	4.05250463578799e-10
Lamp5_Late_APOE4_Pos	APH1B	antagonist	7.85724976484966e-10
L6_IT_Late_APOE4_Neg	APH1B	antagonist	5.74082528082764e-10
L6_IT_Late_APOE4_Pos	APH1B	antagonist	3.94980427927535e-11
L6_CT_Late_APOE4_Pos	APH1B	antagonist	4.94487773802288e-10
Lamp5_Lhx6_Late_APOE4_Pos	APH1B	antagonist	1.13596085023413e-09
Lamp5_Early_APOE4_Neg	APH1B	antagonist	8.1844989282323e-11
Lamp5_Lhx6_Early_APOE4_Neg	APH1B	antagonist	4.59499357207401e-10
L6_CT_Early_APOE4_Neg	APH1B	antagonist	4.33012221600293e-10
L6_IT_Car3_Late_APOE4_Neg	APH1B	antagonist	9.52087539675359e-11
OPC_Late_APOE4_Pos	APH1B	antagonist	7.46700530001149e-10
L6b_Late_APOE4_Neg	APH1B	antagonist	4.8385630886942e-10
L6b_Late_APOE4_Pos	APH1B	antagonist	1.91252079343606e-10
Pax6_Early_APOE4_Neg	APH1B	antagonist	6.01927745477472e-11
