cell_type	target	perb_score
456_Exc	TMEM106B	1.25950587408272e-10
123_Endo	TMEM106B	1.26622155326838e-10
456_Micro	JAZF1	2.05560610184413e-09
123_Micro	JAZF1	9.17943229354697e-09
123_OPC	JAZF1	8.86650289878869e-10
123_Oligo	JAZF1	5.48856540833566e-09
456_Oligo	JAZF1	3.39558822666127e-09
123_Astro	JAZF1	6.73919511036144e-10
456_Endo	JAZF1	5.18257817226125e-09
456_OPC	JAZF1	1.51977742862514e-09
123_Inh	JAZF1	7.32991982306648e-09
456_Astro	JAZF1	5.05160012630353e-10
123_Exc	JAZF1	8.04197898306420e-09
456_Inh	JAZF1	9.33659840401999e-09
456_Exc	JAZF1	1.2042541604491e-08
123_Endo	JAZF1	7.80482635133558e-09
456_Micro	EPDR1	1.67338413499655e-10
123_Micro	EPDR1	3.75611295360887e-10
123_OPC	EPDR1	1.8763450696457e-10
123_Oligo	EPDR1	4.77673089008314e-10
456_Oligo	EPDR1	3.11795355812997e-10
123_Astro	EPDR1	2.12911676685381e-10
456_Endo	EPDR1	8.16981046365309e-10
456_OPC	EPDR1	6.8055906626938e-10
123_Inh	EPDR1	4.98507375503296e-10
456_Astro	EPDR1	5.30185211000488e-11
123_Exc	EPDR1	9.05861135416907e-11
456_Inh	EPDR1	8.48224175795051e-10
456_Exc	EPDR1	3.13695726635839e-10
123_Endo	EPDR1	1.03652063570612e-09
456_Micro	SEC61G	2.34953157242518e-10
123_Micro	SEC61G	6.57057897490452e-10
123_OPC	SEC61G	2.70456484370585e-10
123_Oligo	SEC61G	8.08669410308907e-10
456_Oligo	SEC61G	3.19533716921215e-11
123_Astro	SEC61G	7.43845553515971e-11
456_Endo	SEC61G	2.38634643763009e-11
456_OPC	SEC61G	3.50468965678386e-10
123_Inh	SEC61G	2.10046492443164e-10
456_Astro	SEC61G	4.39889793572944e-10
123_Exc	SEC61G	8.34377503558089e-11
456_Inh	SEC61G	2.31062259301479e-10
456_Exc	SEC61G	2.08992216130669e-11
123_Endo	SEC61G	2.47247350662195e-10
456_Micro	SPDYE3	3.37480065631353e-10
123_Micro	SPDYE3	9.21883837228179e-11
123_OPC	SPDYE3	7.30937095556841e-11
123_Oligo	SPDYE3	4.88892022704865e-10
456_Oligo	SPDYE3	1.05257291033883e-09
123_Astro	SPDYE3	9.39151364329599e-10
456_Endo	SPDYE3	8.521848170669e-11
456_OPC	SPDYE3	1.36500514489031e-10
123_Inh	SPDYE3	2.85478803866273e-12
456_Astro	SPDYE3	1.89911122699412e-10
123_Exc	SPDYE3	2.84719273766303e-11
456_Inh	SPDYE3	2.27706341170356e-11
456_Exc	SPDYE3	4.74216236745114e-11
123_Endo	SPDYE3	3.22661474005553e-10
456_Micro	EPHA1	5.22220920100651e-18
123_Micro	EPHA1	1.04618618610907e-14
123_OPC	EPHA1	1.53525477778797e-16
123_Oligo	EPHA1	2.45977733190476e-17
456_Oligo	EPHA1	1.11940920934954e-17
123_Astro	EPHA1	2.73872129902384e-17
456_Endo	EPHA1	3.29006650921853e-11
456_OPC	EPHA1	1.48214838758361e-17
123_Inh	EPHA1	4.33680868994202e-18
456_Astro	EPHA1	6.41847686111419e-17
123_Exc	EPHA1	1.03830558223679e-11
456_Inh	EPHA1	9.08507133228775e-11
456_Exc	EPHA1	2.17117695391134e-11
123_Endo	EPHA1	3.68747216488374e-12
456_Micro	CTSB	3.40952833948417e-09
123_Micro	CTSB	1.92368751821118e-09
123_OPC	CTSB	4.00804093665749e-10
123_Oligo	CTSB	1.0650808563414e-10
456_Oligo	CTSB	4.87161474196856e-10
123_Astro	CTSB	4.22230800335889e-10
456_Endo	CTSB	2.79437103129652e-10
456_OPC	CTSB	5.73041475292241e-11
123_Inh	CTSB	4.53714844223436e-10
456_Astro	CTSB	5.85713820139228e-10
123_Exc	CTSB	1.87423510031703e-10
456_Inh	CTSB	5.98834243573379e-10
456_Exc	CTSB	1.75363408218919e-11
123_Endo	CTSB	7.12102828344509e-10
456_Micro	PTK2B	8.15278861995263e-10
123_Micro	PTK2B	2.04643022702513e-10
123_OPC	PTK2B	3.01045311257887e-10
123_Oligo	PTK2B	7.44642315452318e-11
456_Oligo	PTK2B	2.46311628820247e-10
123_Astro	PTK2B	7.59069092267605e-10
456_Endo	PTK2B	6.90072524058395e-11
