cell_type	target	perb_score
123_L56-NP-MTG	CD2AP	4.91982747966245e-10
123_L6-CT-MTG	CD2AP	3.25001680475634e-10
123_L6-IT-Car3	CD2AP	3.47998613614988e-10
123_L6-IT-MTG	CD2AP	1.40188319606642e-10
123_L6b-MTG	CD2AP	4.90354366925814e-10
123_Lamp5_Lhx6-MTG	CD2AP	9.61265360967297e-11
123_Lamp5-MTG	CD2AP	1.20068959203559e-09
123_microglia	CD2AP	1.65794868419363e-10
123_Oligo-MTG	CD2AP	5.73195369737034e-10
123_OPC-MTG	CD2AP	2.37882174834858e-09
123_PAX6-MTG	CD2AP	1.19399240611628e-09
123_Pvalb	CD2AP	2.93968945084354e-10
123_Sncg-MTG	CD2AP	1.83096997384971e-10
123_Sst-MTG	CD2AP	6.6063898088686e-10
123_Vip-MTG	CD2AP	2.47884334184813e-10
123_VLMC-MTG	CD2AP	1.03473547186779e-10
456_Astro	CD2AP	4.70121179487034e-10
456_Chandelier-MTG	CD2AP	3.96626730788934e-10
456_L4-IT-MTG	CD2AP	7.67130742877827e-10
456_L5-ET-MTG	CD2AP	1.03756513036366e-10
456_L5-IT-MTG	CD2AP	2.94518343652259e-11
456_L56-NP-MTG	CD2AP	6.23264172718011e-11
456_L6-CT-MTG	CD2AP	5.42658791700619e-11
456_L6-IT-Car3	CD2AP	5.88506515399768e-10
456_L6-IT-MTG	CD2AP	6.9763283893575e-11
456_L6b-MTG	CD2AP	1.67243211598802e-10
456_Lamp5_Lhx6-MTG	CD2AP	1.85313569509874e-10
456_Lamp5-MTG	CD2AP	2.05904202496703e-10
456_microglia	CD2AP	4.17918617305751e-10
456_Oligo-MTG	CD2AP	1.62716072032948e-10
456_OPC-MTG	CD2AP	1.80600220010733e-11
456_PAX6-MTG	CD2AP	5.20879938726526e-10
456_Pvalb	CD2AP	1.83339875349562e-10
456_Sncg-MTG	CD2AP	1.95443360749368e-10
456_Sst-MTG	CD2AP	3.7290973949932e-10
456_Vip-MTG	CD2AP	6.30076042115435e-11
456_VLMC-MTG	CD2AP	1.82445764825342e-12
123_Astro	HS3ST5	1.92950837970286e-09
123_Chandelier-MTG	HS3ST5	1.36956264829782e-09
123_L4-IT-MTG	HS3ST5	8.34440314328286e-10
123_L5-ET-MTG	HS3ST5	6.00669635193409e-10
123_L5-IT-MTG	HS3ST5	7.69162137785697e-11
123_L56-NP-MTG	HS3ST5	7.74446748719542e-10
123_L6-CT-MTG	HS3ST5	1.36580565046054e-09
123_L6-IT-Car3	HS3ST5	3.94887699055092e-10
123_L6-IT-MTG	HS3ST5	3.60643336411816e-10
123_L6b-MTG	HS3ST5	3.63652258136544e-10
123_Lamp5_Lhx6-MTG	HS3ST5	8.58486690174881e-10
123_Lamp5-MTG	HS3ST5	6.8161549928966e-10
123_microglia	HS3ST5	5.284452445269e-11
123_Oligo-MTG	HS3ST5	9.7417642260886e-09
123_OPC-MTG	HS3ST5	1.99559692970066e-12
123_PAX6-MTG	HS3ST5	9.00464567823535e-10
123_Pvalb	HS3ST5	1.60404678479238e-10
123_Sncg-MTG	HS3ST5	9.89791618969713e-10
123_Sst-MTG	HS3ST5	1.69824097206547e-10
123_Vip-MTG	HS3ST5	1.36809348655761e-09
123_VLMC-MTG	HS3ST5	1.89624585072441e-09
456_Astro	HS3ST5	5.67692920637214e-11
456_Chandelier-MTG	HS3ST5	3.9238612777768e-10
456_L4-IT-MTG	HS3ST5	5.36433298236469e-11
456_L5-ET-MTG	HS3ST5	5.04079084700568e-10
456_L5-IT-MTG	HS3ST5	1.79284029992741e-10
456_L56-NP-MTG	HS3ST5	3.83867800590474e-10
456_L6-CT-MTG	HS3ST5	3.68935140213213e-11
456_L6-IT-Car3	HS3ST5	6.74818365519854e-11
456_L6-IT-MTG	HS3ST5	3.73527811301701e-11
456_L6b-MTG	HS3ST5	7.86169880099839e-12
456_Lamp5_Lhx6-MTG	HS3ST5	1.9276544152312e-10
456_Lamp5-MTG	HS3ST5	6.16600100372474e-09
456_microglia	HS3ST5	2.17793979269915e-12
456_Oligo-MTG	HS3ST5	1.61044407908457e-10
456_OPC-MTG	HS3ST5	2.70208892655979e-09
456_PAX6-MTG	HS3ST5	1.11822229894083e-09
456_Pvalb	HS3ST5	1.07667134207676e-10
456_Sncg-MTG	HS3ST5	4.96996385077538e-10
456_Sst-MTG	HS3ST5	5.99112271109543e-10
456_Vip-MTG	HS3ST5	4.93671475039754e-11
456_VLMC-MTG	HS3ST5	2.04247279312101e-09
123_Astro	UMAD1	5.13079600876796e-10
123_Chandelier-MTG	UMAD1	2.10375831445558e-09
123_L4-IT-MTG	UMAD1	4.58516633296455e-11
123_L5-ET-MTG	UMAD1	9.27054646840544e-10
123_L5-IT-MTG	UMAD1	5.91668504634415e-10
123_L56-NP-MTG	UMAD1	6.92423483508795e-09
123_L6-CT-MTG	UMAD1	1.74831509338918e-09
123_L6-IT-Car3	UMAD1	1.12914051243101e-09
123_L6-IT-MTG	UMAD1	1.376206134952e-09
123_L6b-MTG	UMAD1	2.25257400911145e-09
123_Lamp5_Lhx6-MTG	UMAD1	1.5629441760969e-09
123_Lamp5-MTG	UMAD1	1.41251277159024e-10
123_microglia	UMAD1	1.24422859381834e-09
123_Oligo-MTG	UMAD1	3.01959783430089e-09
123_OPC-MTG	UMAD1	2.37198353721731e-09
123_PAX6-MTG	UMAD1	1.38993592611335e-09
123_Pvalb	UMAD1	1.39068130288658e-09
123_Sncg-MTG	UMAD1	3.47378099213719e-09
123_Sst-MTG	UMAD1	1.99513366751625e-09
123_Vip-MTG	UMAD1	2.10192338828589e-09
123_VLMC-MTG	UMAD1	1.47180371353976e-09
456_Astro	UMAD1	6.56605864515229e-10
456_Chandelier-MTG	UMAD1	1.60301087053553e-10
456_L4-IT-MTG	UMAD1	7.16203087303499e-10
456_L5-ET-MTG	UMAD1	2.79189366536874e-10
456_L5-IT-MTG	UMAD1	1.41132399768973e-10
456_L56-NP-MTG	UMAD1	7.34013101886094e-10
456_L6-CT-MTG	UMAD1	7.08426978333483e-10
456_L6-IT-Car3	UMAD1	2.38055401958896e-09
456_L6-IT-MTG	UMAD1	2.73360743569452e-10
456_L6b-MTG	UMAD1	1.87389133381903e-09
456_Lamp5_Lhx6-MTG	UMAD1	4.44709624451056e-10
456_Lamp5-MTG	UMAD1	1.29572146336481e-09
456_microglia	UMAD1	7.7372226550571e-10
456_Oligo-MTG	UMAD1	1.90269682630467e-09
456_OPC-MTG	UMAD1	4.07156505947721e-11
456_PAX6-MTG	UMAD1	1.4595050477688e-09
456_Pvalb	UMAD1	1.73812018421024e-09
456_Sncg-MTG	UMAD1	1.06749862115867e-09
456_Sst-MTG	UMAD1	8.10103302988079e-10
456_Vip-MTG	UMAD1	1.76263286506025e-10
456_VLMC-MTG	UMAD1	1.57994797416471e-10
123_Astro	ICA1	3.73252340113776e-09
123_Chandelier-MTG	ICA1	1.65175187636133e-09
123_L4-IT-MTG	ICA1	1.27101721055519e-09
