cell_type	target	binding	perb_score
Early_Braak_L2_3_IT	BIN1	antagonist	8.85205853860448e-10
Early_Braak_Sst	BIN1	antagonist	5.99374613293919e-10
Early_Braak_L6_IT	BIN1	antagonist	4.85000695844466e-10
Early_Braak_Lamp5_Lhx6	BIN1	antagonist	1.11464587102453e-10
Early_Braak_Microglia-PVM	BIN1	antagonist	1.18899327673383e-09
Early_Braak_L6_CT	BIN1	antagonist	1.18384098839701e-09
Early_Braak_Chandelier	BIN1	antagonist	1.54144840201073e-10
Early_Braak_L6_IT_Car3	BIN1	antagonist	1.27251863774518e-09
Early_Braak_L5_6_NP	BIN1	antagonist	1.02957182774939e-09
Early_Braak_OPC	BIN1	antagonist	3.53932666806556e-12
Early_Braak_L4_IT	BIN1	antagonist	6.64580680231068e-10
Early_Braak_Pax6	BIN1	antagonist	8.92383103115727e-10
Early_Braak_L5_IT	BIN1	antagonist	7.36465784341481e-10
Early_Braak_Oligodendrocyte	BIN1	antagonist	4.31047441807049e-09
Late_Braak_Endothelial	BIN1	antagonist	2.70970892550146e-10
Early_Braak_VLMC	BIN1	antagonist	7.98624025969431e-10
Early_Braak_Vip	BIN1	antagonist	1.20858190354398e-09
Early_Braak_Sncg	BIN1	antagonist	1.36339152577908e-10
Late_Braak_Astrocyte	BIN1	antagonist	3.05301807631097e-10
Late_Braak_Chandelier	BIN1	antagonist	4.4059403176156e-10
Early_Braak_Lamp5	BIN1	antagonist	3.92963107769139e-10
Early_Braak_Pvalb	BIN1	antagonist	1.30172314018524e-09
Late_Braak_L6_IT_Car3	BIN1	antagonist	1.33561328302104e-09
Late_Braak_L2_3_IT	BIN1	antagonist	1.08455003377174e-09
Late_Braak_Lamp5_Lhx6	BIN1	antagonist	7.16291426619594e-10
Late_Braak_L5_IT	BIN1	antagonist	7.3050107035857e-10
Late_Braak_L5_6_NP	BIN1	antagonist	1.08781012362291e-09
Late_Braak_Pax6	BIN1	antagonist	8.06211986393535e-10
Late_Braak_Lamp5	BIN1	antagonist	6.06509582092639e-10
Late_Braak_Sncg	BIN1	antagonist	8.93453313878967e-10
Late_Braak_L6_IT	BIN1	antagonist	2.44368194930603e-10
Late_Braak_L6_CT	BIN1	antagonist	7.01660140191409e-10
Late_Braak_L4_IT	BIN1	antagonist	4.58089976462071e-10
Late_Braak_Sst	BIN1	antagonist	5.48074272372651e-11
Late_Braak_OPC	BIN1	antagonist	4.75889558832846e-10
Late_Braak_L5_ET	BIN1	antagonist	3.14195721587388e-11
Late_Braak_Sst_Chodl	BIN1	antagonist	9.11851232285686e-10
Late_Braak_Oligodendrocyte	BIN1	antagonist	6.68336041984965e-10
Late_Braak_Pvalb	BIN1	antagonist	1.155995089558e-09
Late_Braak_L6b	BIN1	antagonist	6.90995325726874e-10
Late_Braak_Vip	BIN1	antagonist	4.46817671262241e-10
Late_Braak_Microglia-PVM	BIN1	antagonist	1.10282760808811e-09
Late_Braak_VLMC	BIN1	antagonist	7.93318978636562e-10
Early_Braak_Astrocyte	BDNF	antagonist	8.10808977927976e-11
Early_Braak_L6b	BDNF	antagonist	1.94607916399388e-10
Early_Braak_L2_3_IT	BDNF	antagonist	1.33851047918248e-09
Early_Braak_Sst	BDNF	antagonist	1.14943280338453e-10
Early_Braak_L6_IT	BDNF	antagonist	3.96764618979635e-10
Early_Braak_Lamp5_Lhx6	BDNF	antagonist	9.18909273712544e-11
Early_Braak_Microglia-PVM	BDNF	antagonist	5.87701834325372e-11
Early_Braak_L6_CT	BDNF	antagonist	4.15018751268931e-10
Early_Braak_Chandelier	BDNF	antagonist	1.79929707986953e-10
Early_Braak_L6_IT_Car3	BDNF	antagonist	5.48591463738095e-10
Early_Braak_L5_6_NP	BDNF	antagonist	8.34211595345063e-11
Early_Braak_OPC	BDNF	antagonist	8.33813737085669e-11
Early_Braak_L4_IT	BDNF	antagonist	7.61517328682536e-10
Early_Braak_Pax6	BDNF	antagonist	1.79814838716995e-10
Early_Braak_L5_IT	BDNF	antagonist	8.29527294437023e-10
