cell_type	target	binding	perb_score
Early_Braak_L5_IT	ANK3	agonist	1.72916189361681e-09
Late_Braak_L2_3_IT	ANK3	agonist	3.41434211519136e-09
Late_Braak_Chandelier	ANK3	agonist	1.39102331269423e-09
Late_Braak_L5_6_NP	ANK3	agonist	4.34303740088584e-09
Late_Braak_L6_IT	ANK3	agonist	7.11530347832158e-11
Late_Braak_Astro	ANK3	agonist	4.11268687876566e-09
Late_Braak_L6_CT	ANK3	agonist	3.96001260828917e-09
Late_Braak_Endo	ANK3	agonist	1.72226556669885e-10
Late_Braak_L5_IT	ANK3	agonist	2.09047117159458e-09
Late_Braak_L5_ET	ANK3	agonist	4.94447693965303e-09
Late_Braak_OPC	ANK3	agonist	4.4803658400576e-09
Late_Braak_L4_IT	ANK3	agonist	7.14728181222764e-09
Late_Braak_L6b	ANK3	agonist	3.78771652410707e-09
Late_Braak_Pax6	ANK3	agonist	3.72171923091641e-09
Late_Braak_Lamp5_Lhx6	ANK3	agonist	2.72138724240239e-10
Late_Braak_L6_IT_Car3	ANK3	agonist	3.08608996221378e-09
Late_Braak_Micro-PVM	ANK3	agonist	3.73293010363204e-09
Late_Braak_Lamp5	ANK3	agonist	1.0874139730228e-08
Late_Braak_Sst_Chodl	ANK3	agonist	5.64134322125024e-09
Late_Braak_Sncg	ANK3	agonist	6.56300355183509e-09
Late_Braak_Vip	ANK3	agonist	7.0422963462406e-09
Late_Braak_Pvalb	ANK3	agonist	2.55512016451932e-09
Late_Braak_Oligo	ANK3	agonist	1.92518325963112e-09
Late_Braak_Sst	ANK3	agonist	5.57144486260808e-09
Late_Braak_VLMC	ANK3	agonist	1.26571563154077e-09
Early_Braak_L6_CT	APH1B	agonist	1.59969289607311e-10
Early_Braak_L4_IT	APH1B	agonist	4.34024852212086e-10
Early_Braak_Astro	APH1B	agonist	6.30764287441477e-10
Early_Braak_Endo	APH1B	agonist	6.71414882953153e-10
Early_Braak_Chandelier	APH1B	agonist	1.05784410683069e-10
Early_Braak_L6_IT	APH1B	agonist	4.53555904372549e-10
Early_Braak_Sst	APH1B	agonist	5.1567398529267e-11
Early_Braak_VLMC	APH1B	agonist	1.38767241459001e-10
Early_Braak_Sncg	APH1B	agonist	4.48613553339092e-10
Early_Braak_OPC	APH1B	agonist	6.74572335387772e-10
Early_Braak_L5_ET	APH1B	agonist	7.30084806743893e-10
Early_Braak_L6_IT_Car3	APH1B	agonist	1.49025780355835e-09
Early_Braak_L2_3_IT	APH1B	agonist	4.82905442950783e-10
Early_Braak_L6b	APH1B	agonist	3.62340057569191e-10
Early_Braak_Micro-PVM	APH1B	agonist	5.86020561751013e-10
Early_Braak_Pax6	APH1B	agonist	1.25623376229517e-09
Early_Braak_L5_6_NP	APH1B	agonist	5.22757828733083e-10
Early_Braak_Lamp5	APH1B	agonist	1.41854447398783e-09
Early_Braak_Sst_Chodl	APH1B	agonist	3.01853148249652e-10
Early_Braak_Oligo	APH1B	agonist	2.15288992596988e-09
Early_Braak_Vip	APH1B	agonist	1.24990990648275e-09
Early_Braak_Pvalb	APH1B	agonist	4.33757110365612e-10
Early_Braak_Lamp5_Lhx6	APH1B	agonist	1.67393014677995e-10
Early_Braak_L5_IT	APH1B	agonist	1.13028319331803e-10
Late_Braak_L2_3_IT	APH1B	agonist	4.56241277644682e-10
Late_Braak_Chandelier	APH1B	agonist	2.65730594223237e-10
Late_Braak_L5_6_NP	APH1B	agonist	9.23234201308691e-10
Late_Braak_L6_IT	APH1B	agonist	1.17882551365171e-10
Late_Braak_Astro	APH1B	agonist	5.3103096594413e-10
Late_Braak_L6_CT	APH1B	agonist	3.04483379025841e-10
Late_Braak_Endo	APH1B	agonist	2.1835920034004e-10
Late_Braak_L5_IT	APH1B	agonist	4.87773992678072e-10
Late_Braak_L5_ET	APH1B	agonist	2.00671157459408e-10
Late_Braak_OPC	APH1B	agonist	3.07620434546002e-11
Late_Braak_L4_IT	APH1B	agonist	2.33756805427123e-10
Late_Braak_L6b	APH1B	agonist	6.43768889496279e-10
Late_Braak_Pax6	APH1B	agonist	2.08233508060208e-10
Late_Braak_Lamp5_Lhx6	APH1B	agonist	1.06544468417313e-11
Late_Braak_L6_IT_Car3	APH1B	agonist	6.16796035721292e-10
Late_Braak_Micro-PVM	APH1B	agonist	3.6783421925351e-10
Late_Braak_Lamp5	APH1B	agonist	5.59377296333152e-10
Late_Braak_Sst_Chodl	APH1B	agonist	4.45063188428865e-10
Late_Braak_Sncg	APH1B	agonist	8.81220474902085e-11
Late_Braak_Vip	APH1B	agonist	3.52240899478769e-10
Late_Braak_Pvalb	APH1B	agonist	1.61301223778807e-10
Late_Braak_Oligo	APH1B	agonist	3.06538415019209e-10
Late_Braak_Sst	APH1B	agonist	3.75703925448534e-10
Late_Braak_VLMC	APH1B	agonist	6.27126966893313e-10
Early_Braak_L6_CT	ADORA1	agonist	8.05004918259294e-10
Early_Braak_L4_IT	ADORA1	agonist	4.49241374859156e-10
Early_Braak_Astro	ADORA1	agonist	5.36168819500166e-11
Early_Braak_Endo	ADORA1	agonist	1.72934570004312e-09
Early_Braak_Chandelier	ADORA1	agonist	3.41394541365874e-10
Early_Braak_L6_IT	ADORA1	agonist	8.7634047615832e-10
Early_Braak_Sst	ADORA1	agonist	4.66948364678475e-10
Early_Braak_VLMC	ADORA1	agonist	9.92534123827455e-11
Early_Braak_Sncg	ADORA1	agonist	7.19860836764013e-10
Early_Braak_OPC	ADORA1	agonist	4.40202974013386e-10
Early_Braak_L5_ET	ADORA1	agonist	5.50571980360361e-10
Early_Braak_L6_IT_Car3	ADORA1	agonist	7.75671813803861e-10
Early_Braak_L2_3_IT	ADORA1	agonist	4.58912295405674e-11
Early_Braak_L6b	ADORA1	agonist	3.28049710437708e-10
Early_Braak_Micro-PVM	ADORA1	agonist	3.20986451389222e-10
Early_Braak_Pax6	ADORA1	agonist	6.05446717527776e-10
Early_Braak_L5_6_NP	ADORA1	agonist	1.24868442156161e-09
Early_Braak_Lamp5	ADORA1	agonist	2.39120473564486e-10
Early_Braak_Sst_Chodl	ADORA1	agonist	1.10169701112421e-09
Early_Braak_Oligo	ADORA1	agonist	7.89049267481354e-10
Early_Braak_Vip	ADORA1	agonist	6.70453186607185e-10
Early_Braak_Pvalb	ADORA1	agonist	5.09810032954961e-10
Early_Braak_Lamp5_Lhx6	ADORA1	agonist	2.37339105243575e-10
Early_Braak_L5_IT	ADORA1	agonist	1.33223390515424e-10
Late_Braak_L2_3_IT	ADORA1	agonist	5.19461372388781e-12
Late_Braak_Chandelier	ADORA1	agonist	1.81860595392238e-10
Late_Braak_L5_6_NP	ADORA1	agonist	7.97170042251292e-10
Late_Braak_L6_IT	ADORA1	agonist	2.21534446673728e-10
Late_Braak_Astro	ADORA1	agonist	4.80457147908582e-10
Late_Braak_L6_CT	ADORA1	agonist	2.14361107664591e-10
Late_Braak_Endo	ADORA1	agonist	3.49595152478372e-10
Late_Braak_L5_IT	ADORA1	agonist	3.1267260001492e-11
Late_Braak_L5_ET	ADORA1	agonist	2.38580348175996e-10
Late_Braak_OPC	ADORA1	agonist	6.60823773668304e-10
Late_Braak_L4_IT	ADORA1	agonist	7.04892710005265e-10
Late_Braak_L6b	ADORA1	agonist	9.46999072771478e-10
Late_Braak_Pax6	ADORA1	agonist	7.04356139111152e-10
Late_Braak_Lamp5_Lhx6	ADORA1	agonist	4.81342600875455e-11
Late_Braak_L6_IT_Car3	ADORA1	agonist	1.24797876921e-09
Late_Braak_Micro-PVM	ADORA1	agonist	6.38635953262015e-11
Late_Braak_Lamp5	ADORA1	agonist	1.85348356033571e-12
Late_Braak_Sst_Chodl	ADORA1	agonist	3.51022477455997e-11
Late_Braak_Sncg	ADORA1	agonist	3.37900457541419e-10
Late_Braak_Vip	ADORA1	agonist	1.43297862485187e-10
Late_Braak_Pvalb	ADORA1	agonist	9.91260094407101e-11
Late_Braak_Oligo	ADORA1	agonist	1.12017993702444e-09
Late_Braak_Sst	ADORA1	agonist	2.03713300430829e-10
Late_Braak_VLMC	ADORA1	agonist	2.08795165991709e-10
Early_Braak_L6_CT	ADORA2A	agonist	3.74662711866893e-10
Early_Braak_L4_IT	ADORA2A	agonist	1.58283311660318e-10
Early_Braak_Astro	ADORA2A	agonist	5.27333322772995e-11
Early_Braak_Endo	ADORA2A	agonist	1.18250672566003e-09
Early_Braak_Chandelier	ADORA2A	agonist	1.73106247466882e-10
Early_Braak_L6_IT	ADORA2A	agonist	1.50753893572475e-10
Early_Braak_Sst	ADORA2A	agonist	2.51983117779825e-11
Early_Braak_VLMC	ADORA2A	agonist	6.14566180429198e-10
Early_Braak_Sncg	ADORA2A	agonist	2.1569698435277e-10
Early_Braak_OPC	ADORA2A	agonist	9.03489632782258e-11
Early_Braak_L5_ET	ADORA2A	agonist	1.27932215457536e-10
Early_Braak_L6_IT_Car3	ADORA2A	agonist	3.13840510828117e-10
Early_Braak_L2_3_IT	ADORA2A	agonist	2.45782991766225e-10
Early_Braak_L6b	ADORA2A	agonist	2.10775276837348e-10
Early_Braak_Micro-PVM	ADORA2A	agonist	6.75399112935879e-10
Early_Braak_Pax6	ADORA2A	agonist	8.4791573433437e-10
Early_Braak_L5_6_NP	ADORA2A	agonist	1.70948782830886e-10
Early_Braak_Lamp5	ADORA2A	agonist	2.84190233049312e-10
Early_Braak_Sst_Chodl	ADORA2A	agonist	5.5007531740549e-10
Early_Braak_Oligo	ADORA2A	agonist	6.45147618761822e-10
Early_Braak_Vip	ADORA2A	agonist	2.80343734580826e-10
Early_Braak_Pvalb	ADORA2A	agonist	2.37936505933597e-10
Early_Braak_Lamp5_Lhx6	ADORA2A	agonist	1.55394285172006e-10
