cell_type	target	binding	perb_score
Early_Braak_L2_3_IT	ALB	agonist	1.37915229055615e-10
Early_Braak_OPC	ALB	agonist	4.15629052975772e-11
Late_Braak_Chandelier	ALB	agonist	4.62532628332995e-11
Early_Braak_L6b	ALB	agonist	6.7505407639538e-11
Early_Braak_L5_IT	ALB	agonist	3.82892476082755e-11
Late_Braak_Astrocyte	ALB	agonist	3.60957539877349e-11
Early_Braak_L6_IT	ALB	agonist	9.94110923883464e-11
Early_Braak_Lamp5	ALB	agonist	5.12885012679221e-11
Early_Braak_L6_CT	ALB	agonist	1.70875697672323e-10
Early_Braak_Microglia-PVM	ALB	agonist	2.1263634381269e-17
Early_Braak_Vip	ALB	agonist	5.64050809377894e-11
Early_Braak_Chandelier	ALB	agonist	5.70807133784464e-11
Early_Braak_L5_6_NP	ALB	agonist	1.00424716827732e-10
Early_Braak_VLMC	ALB	agonist	4.42269442734662e-18
Early_Braak_Pax6	ALB	agonist	8.06722651312503e-11
Late_Braak_Endothelial	ALB	agonist	2.63572120530989e-11
Early_Braak_Sst	ALB	agonist	1.24328223362712e-10
Early_Braak_Pvalb	ALB	agonist	4.08928514567604e-11
Late_Braak_L2_3_IT	ALB	agonist	7.18201131577257e-11
Late_Braak_Lamp5_Lhx6	ALB	agonist	3.74169770727686e-11
Late_Braak_L5_ET	ALB	agonist	1.6148126916283e-11
Late_Braak_Lamp5	ALB	agonist	4.17207661916261e-11
Late_Braak_L6_IT	ALB	agonist	9.95943891184685e-11
Late_Braak_L4_IT	ALB	agonist	2.50889682084305e-11
Late_Braak_L6b	ALB	agonist	2.62485265970219e-11
Late_Braak_Sst_Chodl	ALB	agonist	7.12291868214655e-12
Late_Braak_L6_CT	ALB	agonist	1.02606936139363e-10
Late_Braak_L6_IT_Car3	ALB	agonist	8.26754243363123e-11
Late_Braak_Oligodendrocyte	ALB	agonist	4.72828188081922e-11
Late_Braak_Pax6	ALB	agonist	8.53000416046189e-11
Late_Braak_Vip	ALB	agonist	2.89811719564266e-11
Late_Braak_OPC	ALB	agonist	1.2406357645326e-10
Late_Braak_Microglia-PVM	ALB	agonist	3.60493162684347e-16
Late_Braak_Sncg	ALB	agonist	3.73513243242221e-11
Late_Braak_VLMC	ALB	agonist	2.5018537765542e-17
Late_Braak_Sst	ALB	agonist	2.48374603233007e-16
